GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
0500000US01001,1001,"Autauga County, Alabama",20800,391,14653,527,11735,505,6147,576,6,1.2,3.6,1.4,1.4,1.1,12.9,3.2,6.4,1.3,3.3,1.1,0.5,0.4,14.7,3.7,9.3,1.6,6.6,1.7,4.2,1.3,15.8,3.6,9.7,1.6,9.1,1.9,7.1,1.7,12.7,3.5,15,2.4,12.8,2.1,12.6,2.5,18.8,5,19.5,2,20.6,2.6,22.4,3,16.4,4.1,13.2,1.6,16.4,2,19,2.3,5.1,2.4,14.7,2.2,19.7,2.9,23.1,3.3,1.6,0.8,3.8,1.2,4.8,1.5,5.8,1.9,1.5,1.2,2.3,0.8,3.1,1.2,3.9,1.5,0.5,0.5,53099,2631,67178,3574,77763,4289,30095,3684,67651,3427,79032,4134,N,N,38491,3969,29.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.5,(X)
0500000US01003,1003,"Baldwin County, Alabama",75149,1285,50190,1356,40093,1163,24959,1178,6,0.7,3.9,0.8,2,0.7,11.7,1.7,5.6,0.6,3,0.6,1.7,0.5,10.6,1.7,11.7,1.1,7.3,1,5,0.9,21.1,2.2,10.7,0.8,8.5,1,7.3,1.1,14.7,1.7,14.5,0.9,13.9,1.2,12.8,1.3,15.8,1.8,18.6,1.1,20.9,1.4,22,1.7,13.4,1.5,12,0.9,14.8,1.3,16.8,1.5,5.9,1.3,12.7,0.9,16.4,1.2,18.8,1.4,5,1.4,3.9,0.5,5.4,0.8,6.3,0.9,0.8,0.4,4.3,0.6,5.9,0.8,7.2,1,1,0.8,51365,991,64020,2351,73891,2878,29734,1742,70277,1898,83841,2521,93750,3052,41159,3192,32.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),34,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.2,(X)
0500000US01005,1005,"Barbour County, Alabama",9122,286,5968,260,3968,223,3154,265,14.5,2,10.6,2,2.6,1.7,23.7,4.3,9.8,1.6,5.9,1.8,2.3,1.3,18.1,3.4,15.4,2.1,11.7,2.3,8.1,2.1,23.4,3.8,11.2,1.7,11.6,2.1,10.9,2.3,9.6,2.6,15,2.1,17.6,2.8,19.5,3.7,10.5,3.1,14.6,1.8,16.8,2.4,20.4,3.5,7.7,2.3,9.4,1.4,12.6,2,17.3,2.9,3.3,1.9,7.9,1.2,10.8,1.5,15.1,2.2,2.5,1.6,1.5,0.7,1.9,0.9,2.7,1.3,0.9,1.2,0.5,0.2,0.6,0.3,1,0.5,0.2,0.3,33956,2655,42515,2240,56667,6783,17108,1212,45280,2214,53966,2735,N,N,26912,2758,35.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X)
0500000US01007,1007,"Bibb County, Alabama",7048,352,5272,329,3928,360,1776,230,8.5,2.3,5,2,2,1.4,23,6.3,5.4,1.9,3.3,1.8,1.7,1.5,11.7,5,16.8,3.4,13.2,4.1,7.2,3,28.2,7.1,14.4,3.6,14.3,3.8,10.9,3.9,12.8,6.2,15.2,3,15,3.3,15.9,4.2,13.1,6,17.7,3.3,22.8,4.4,28.3,5.1,5.4,2.9,11.4,2.6,14,3.1,18,4,3.8,3.3,7.6,2.4,8.5,2.9,11,3.9,1.9,2.3,2.2,1.2,3,1.7,3.5,2,0,1.7,0.8,0.6,1,0.9,1.4,1.1,0,1.7,39776,3306,48682,5826,57756,5049,20197,4952,53863,5626,61722,7605,N,N,26798,3801,45.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),45.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),38.8,(X)
0500000US01009,1009,"Blount County, Alabama",20619,403,15439,475,12314,480,5180,420,8.1,1.2,5.3,1.2,2.3,0.8,17.6,3,6.1,1.1,2.9,0.9,2.1,0.9,15.7,3.4,10.8,1.3,8.2,1.4,7,1.3,18.9,3.3,13.4,1.5,11.9,1.7,11.2,1.6,16.9,3.2,15.5,2,16.7,2.3,15.4,2.4,13.1,3.4,21.8,1.8,24.9,2.2,26.2,2.4,12.7,2.7,11,1.6,12.9,1.9,15.3,2.3,3.4,1.6,9.5,1.3,12.6,1.7,15.2,2.1,1,0.8,2.6,0.7,3.1,0.9,3.5,1.1,0.3,0.3,1.2,0.4,1.5,0.6,1.8,0.7,0.3,0.5,46212,2443,54434,3062,63671,2536,23806,2237,56439,2010,64508,2227,N,N,29910,2194,30.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.8,(X)
0500000US01011,1011,"Bullock County, Alabama",3556,210,2318,244,1174,211,1238,206,18.3,4.3,15.9,4.6,4.2,4.7,23.4,9.2,10.4,3.5,8.4,4.2,1.9,2.6,14.2,7.3,14.2,4.8,7.3,4.2,7.5,6.9,27.1,11.1,12.8,4,14,6,6.6,4.5,13.8,6.5,12.9,4.3,14.9,5.9,20.5,10.2,9.1,4.9,17.9,5.2,22.3,6.7,29.6,9.6,7.3,5.3,8.1,3,10.3,4.6,17.5,8.3,2.7,2.2,3.5,1.7,4.1,2.2,6.7,4.3,2.4,3,0.6,0.9,1,1.4,2,2.7,0,2.4,1.2,1.2,1.9,1.9,3.7,3.8,0,2.4,29335,5435,41165,5394,53875,7858,20613,2540,41123,3926,48739,5514,N,N,25491,4574,45.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),44,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),45.8,(X)
0500000US01013,1013,"Butler County, Alabama",7675,251,5139,248,3382,209,2536,237,12.3,1.9,7.3,2,2.7,1.3,24.2,4.2,8.7,1.8,4.8,1.8,2.6,1.6,16.6,3.8,18.1,2.4,18.3,3,13.6,3.1,17.7,3.7,11.6,1.9,12,2.4,11.7,2.8,11.1,3.4,14,2.3,14.8,2.9,13.9,3.1,11.8,3,16.2,1.9,18.1,2.4,21.4,2.9,11.2,3.8,8.8,1.4,11.2,1.9,14.9,2.7,4.9,2.2,7.2,1.6,9.2,2.3,13,3.2,2.3,1.7,2.3,0.9,3.4,1.3,5,2,0,1.2,0.6,0.3,0.8,0.5,1.2,0.7,0.2,0.3,34315,2904,41694,2716,56981,3630,18690,2333,46699,2386,54830,3113,N,N,28811,2365,37.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),38.4,(X)
0500000US01015,1015,"Calhoun County, Alabama",45071,581,30700,716,21493,748,14371,667,9.8,1,6.4,1,2.1,0.6,18.5,2.4,7.5,0.9,5.2,0.9,1.7,0.5,13.8,2,13,1,9.3,0.9,6.7,1,20.5,2,12.1,1,11.2,1.2,8.8,1.2,13.4,1.9,15,1.1,15.6,1.6,15.5,1.8,13.5,1.8,19,1.4,21.8,1.9,25.4,2.3,12.9,2,10.1,1.2,12.9,1.5,15.7,1.8,4.1,1.2,9.8,1.2,12.9,1.7,17.4,2.2,1.7,0.6,2.2,0.4,2.8,0.5,4,0.8,0.8,0.5,1.6,0.4,2,0.6,2.7,0.8,0.7,0.5,41954,1381,52511,1944,63556,2131,23418,1667,55559,1870,65009,2521,77353,2946,33310,2392,32.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.1,(X)
0500000US01017,1017,"Chambers County, Alabama",13851,359,8654,397,5778,353,5197,355,10.5,1.4,7.2,1.8,2,1,16.9,2.8,8.2,1.6,4.4,1.7,2.1,1.1,16.5,3.5,16.3,2.1,11.5,2.2,6.5,1.5,24.1,3.6,13.7,2,12.5,2.3,11,2.2,15.3,3.4,15.9,1.9,16.8,2,18.9,2.7,13.6,3.6,16.1,1.7,20.6,2.4,25,3.5,7.3,2.1,11,1.3,15.2,2,18.6,2.9,3.7,1.4,5.9,1.2,8.1,1.8,11,2.5,2.2,1.4,1.4,0.5,2.1,0.8,2.6,1.1,0.1,0.2,1.1,0.5,1.6,0.7,2.4,1,0.3,0.3,36027,1870,47749,2443,59075,4162,20926,1802,50369,3506,62504,5360,N,N,28826,2092,36.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.2,(X)
